time,scene_number,scene_name,character,quote,location,description
157,1,Moving to San Francisco,MOM,Pizza sound delicious !,SAN FRANCISCO HOUSE,Joyce disappoint
158,1,Moving to San Francisco,Felipe,yeah ! Pizza ! good idea Joyce,HEADQUARTERS,Joyce disappoint
159,1,Moving to San Francisco,Angelo,yeah ! Pizza ! good idea Joyce,HEADQUARTERS,Joyce disappoint
160,1,Moving to San Francisco,Diane,yeah ! Pizza ! good idea Joyce,HEADQUARTERS,Joyce disappoint
161,1,Moving to San Francisco,Felipe,heck ?! put broccoli pizza ?,HEADQUARTERS,Riley mom get pizza broccoli
162,1,Moving to San Francisco,Joyce,heck ?! put broccoli pizza ?,HEADQUARTERS,Riley mom get pizza broccoli
163,1,Moving to San Francisco,Diane,heck ?! put broccoli pizza ?,HEADQUARTERS,Riley mom get pizza broccoli
164,1,Moving to San Francisco,Angelo,congratulation San Francisco ruin pizza ! first Hawaiians !,HEADQUARTERS,Riley mom get pizza broccoli
165,1,Moving to San Francisco,MOM,kind pizza place serve one kind pizza ? must San Francisco thing huh ?,SAN FRANCISCO STREET,mom Riley walk home Riley look disappointed
166,1,Moving to San Francisco,MOM,still bad soup diner Nebraska,SAN FRANCISCO STREET,Joyce glance wall multi-colored memory sigh thing go well
167,1,Moving to San Francisco,RILEY,oh yeah spoon stand soup ! disgusting,SAN FRANCISCO STREET,Joyce glance wall multi-colored memory sigh thing go well
168,1,Moving to San Francisco,Joyce,oh good Family run,HEADQUARTERS,Joyce look back window Family Island go
169,1,Moving to San Francisco,MOM,drive pretty fun huh ? favorite part ?,SAN FRANCISCO STREET,Joyce look back window Family Island go
170,1,Moving to San Francisco,Angelo,spit car window !,HEADQUARTERS,Joyce look back window Family Island go
171,1,Moving to San Francisco,Diane,definitely Dad singing,HEADQUARTERS,Joyce look back window Family Island go
172,1,Moving to San Francisco,Felipe,wear seat belt !,HEADQUARTERS,Joyce look back window Family Island go
173,1,Moving to San Francisco,Joyce,time dinosaur !,HEADQUARTERS,Joyce look back window Family Island go
174,1,Moving to San Francisco,Sandra,yeah yup one,HEADQUARTERS,Joyce pull memory
175,1,Moving to San Francisco,Felipe,yeah yup one,HEADQUARTERS,Joyce pull memory
176,1,Moving to San Francisco,Angelo,yeah yup one,HEADQUARTERS,Joyce pull memory
177,1,Moving to San Francisco,Diane,yeah yup one,HEADQUARTERS,Joyce pull memory
178,1,Moving to San Francisco,DAD,say cheese !,HEADQUARTERS,screen Riley mom pose front roadside cement dinosaur Vernal Utah
179,1,Moving to San Francisco,RILEY,Dad ! Dad ! look behind,HEADQUARTERS,behind Dad car roll hill brake !
180,1,Moving to San Francisco,MOM,Honey car ! car !,HEADQUARTERS,behind Dad car roll hill brake !
181,1,Moving to San Francisco,DAD,hold still Huh ? run car stoooop ! nononono !!,HEADQUARTERS,behind Dad car roll hill brake !
182,1,Moving to San Francisco,Felipe,nice one Joyce,HEADQUARTERS,Stegosaurus tail back window family laugh enjoy memory Joyce chuckle
183,1,Moving to San Francisco,RILEY,smile like time dinosaur pretty funny,SAN FRANCISCO STREET,Stegosaurus tail back window family laugh enjoy memory Joyce chuckle
184,1,Moving to San Francisco,Joyce,wait ? happen ?,HEADQUARTERS,Riley smile fade
185,1,Moving to San Francisco,Felipe,something memory,HEADQUARTERS,Joyce look back Sandra touch memory
186,1,Moving to San Francisco,Joyce,?,HEADQUARTERS,Joyce try fix memory
187,1,Moving to San Francisco,Sandra,touch,HEADQUARTERS,Joyce try fix memory
188,1,Moving to San Francisco,Joyce,make change,HEADQUARTERS,Joyce try fix memory
189,1,Moving to San Francisco,Felipe,Change back Joyce !,HEADQUARTERS,Joyce try fix memory
190,1,Moving to San Francisco,Joyce,try,HEADQUARTERS,Joyce rub memory stay blue
191,1,Moving to San Francisco,Angelo,change back ?,HEADQUARTERS,Joyce rub memory stay blue
192,1,Moving to San Francisco,Joyce,guess !,HEADQUARTERS,Joyce rub memory stay blue
193,1,Moving to San Francisco,Diane,good go Sandra Riley think moment Dad gon na feel sad Bravo,HEADQUARTERS,Joyce rub memory stay blue
194,1,Moving to San Francisco,Sandra,sorry Joyce really know think maybe mean,HEADQUARTERS,Joyce rub memory stay blue
195,1,Moving to San Francisco,Diane,Joyce get stairway come,HEADQUARTERS,Joyce rub memory stay blue
196,1,Moving to San Francisco,Joyce,touch memory figure go,HEADQUARTERS,Riley run towards stairway handrail
197,1,Moving to San Francisco,Sandra,okay,HEADQUARTERS,Riley run towards stairway handrail
198,1,Moving to San Francisco,Joyce,step control Alright get ready monster railing ride way !,HEADQUARTERS,Riley run towards stairway handrail
199,1,Moving to San Francisco,Joyce,wait ? happen ?,HEADQUARTERS,Riley go slide hop walk instead
200,1,Moving to San Francisco,Felipe,core memory !,HEADQUARTERS,suddenly core memory roll Joyce foot
201,1,Moving to San Francisco,Joyce,oh !,HEADQUARTERS,suddenly core memory roll Joyce foot
202,1,Moving to San Francisco,Joyce,Sandra ! ?,HEADQUARTERS,back window GOOFBALL ISLAND go DARK Joyce rush Core memory holder
203,1,Moving to San Francisco,Sandra,look like one crooked open fall !,HEADQUARTERS,back window GOOFBALL ISLAND go DARK Joyce rush Core memory holder
204,1,Moving to San Francisco,RILEY,Woo hoo !,SAN FRANCISCO STREET,Riley jump back railing slide
205,1,Moving to San Francisco,Sandra,want maybe hold one,HEADQUARTERS,Riley jump back railing slide
206,1,Moving to San Francisco,Felipe,Joyce !,HEADQUARTERS,reach touch one start go blue
207,1,Moving to San Francisco,Joyce,Whoa whoa whoa !,HEADQUARTERS,Joyce push Sandra away touch
208,1,Moving to San Francisco,Joyce,Sandra ! nearly touch core memory touch change back !,HEADQUARTERS,core memory turn back YELLOW
209,1,Moving to San Francisco,Sandra,know sorry something wrong like breakdown,HEADQUARTERS,core memory turn back YELLOW
210,1,Moving to San Francisco,Joyce,breakdown stress,HEADQUARTERS,core memory turn back YELLOW
211,1,Moving to San Francisco,Sandra,keep make mistake like awful,HEADQUARTERS,core memory turn back YELLOW
212,1,Moving to San Francisco,Joyce,Nooo,HEADQUARTERS,core memory turn back YELLOW
213,1,Moving to San Francisco,Sandra,annoying,HEADQUARTERS,core memory turn back YELLOW
214,1,Moving to San Francisco,Joyce,well uh know ? focus go wrong always way turn thing around find fun !,HEADQUARTERS,core memory turn back YELLOW
215,1,Moving to San Francisco,Sandra,yeah find fun know,HEADQUARTERS,core memory turn back YELLOW
216,1,Moving to San Francisco,Joyce,okay well try think something funny !,HEADQUARTERS,core memory turn back YELLOW
217,1,Moving to San Francisco,Sandra,oh ! remember funny movie dog die ?,HEADQUARTERS,long pause
